\t,Tab
\n,Enter
\r,Enter
',Quote
,Comma
-,Minus
.,Period
/,Slash
;,Semicolon
=,Equal
[,BracketLeft
\,Backslash
],BracketRight
`,Backquote
accept,
add,NumpadAdd
alt,AltLeft
altleft,AltLeft
altright,AltRight
apps,
backspace,Backspace
browserback,
browserfavorites,
browserforward,
browserhome,
browserrefresh,
browsersearch,
browserstop,
capslock,CapsLock
clear,
convert,Convert
ctrl,ControlLeft
ctrlleft,ControlLeft
ctrlright,ControlRight
decimal,NumpadDecimal
del,Delete
delete,Delete
divide,NumpadDivide
down,ArrowDown
end,End
enter,Enter
esc,Escape
escape,Escape
execute,
f1,F1
f10,F10
f11,F11
f12,F12
f13,F13
f14,F14
f15,F15
f16,F16
f17,F17
f18,F18
f19,F19
f2,F2
f20,F20
f21,F21
f22,F22
f23,F23
f24,F24
f3,F3
f4,F4
f5,F5
f6,F6
f7,F7
f8,F8
f9,F9
final,
fn,
hanguel,
hangul,
hanja,
help,
home,Home
insert,Insert
junja,
kana,KanaMode
kanji,
launchapp1,
launchapp2,
launchmail,
launchmediaselect,
left,ArrowLeft
modechange,
multiply,NumpadMultiply
nexttrack,
nonconvert,NonConvert
num0,Numpad0
num1,Numpad1
num2,Numpad2
num3,Numpad3
num4,Numpad4
num5,Numpad5
num6,Numpad6
num7,Numpad7
num8,Numpad8
num9,Numpad9
numlock,NumLock
pagedown,PageDown
pageup,PageUp
pause,Pause
pgdn,PageDown
pgup,PageUp
playpause,
prevtrack,
print,PrintScreen
printscreen,PrintScreen
prntscrn,PrintScreen
prtsc,PrintScreen
prtscr,PrintScreen
return,Enter
right,ArrowRight
scrolllock,ScrollLock
select,
separator,
shift,ShiftLeft
shiftleft,ShiftLeft
shiftright,ShiftRight
sleep,
space,Space
stop,
subtract,NumpadSubtract
tab,Tab
up,ArrowUp
volumedown,
volumemute,
volumeup,
win,MetaLeft
winleft,MetaLeft
winright,MetaRight
yen,IntlYen
command,MetaLeft
option,AltLeft
optionleft,AltLeft
optionright,AltRight
